Registro_ANS,CNPJ,Razao_Social,Nome_Fantasia,Modalidade,Logradouro,Numero,Complemento,Bairro,Cidade,UF,CEP,DDD,Telefone,Fax,Endereco_eletronico,Representante,Cargo_Representante,Regiao_de_Comercializacao,Data_Registro_ANS
417785,4.56622E+12,CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.,,Administradora de Benefícios,RUA DESEMBARGADOR WESTPHALEN,2151,,REBOUÇAS,Curitiba,PR,80220030,41,30286918,,WILLIAM@GRUPOVITAL.COM.BR,WILLIAM AFONSO ALVES,SOCIO ADMINISTRADOR,3,12/20/2010
419265,1.76347E+13,CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.,CAPITAL ADMINISTRADORA DE BENEFÍCIOS,Administradora de Benefícios,SCS QUADRA 05 BLOCO C,LJ 168,PARTE A1 GALERIA NOVA OUVIDOR,ASA SUL,Brasília,DF,70305918,61,30419594,,XX@XX.XX,NEY BRANDÃO,SÓCIO-ADMINISTRADOR,4,1/23/2014
379956,2.72535E+12,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,CARE PLUS MEDICINA ASSISTENCIAL LTDA.,Medicina de Grupo,ALAMEDA MAMORÉ,687,12ª ANDAR - CJ 1201 A 1204,ALPHAVILLE,Barueri,SP,6454040,11,41979000,,ans@careplus.com.br,LUIZ ROBERTO FONSECA DE CAMARGO,DIRETOR PRESIDENTE,1,1/7/1999
389358,8.56424E+11,CARE PLUS ODONTOLOGIA ASSISTENCIAL LTDA.,INPAO DENTAL,Odontologia de Grupo,AV. VEREADOR JOSÉ DINIZ,3.300,CJ. 1801,CAMPO BELO,São Paulo,SP,4604006,,,,ans@careplus.com.br,ROBERTO MILLER MACHADO TORRES,DIRETOR ,4,12/16/1998
422304,3.62635E+13,CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.,,Medicina de Grupo,Rua da Assembleia,10,sala 3516,CENTRO,Rio de Janeiro,RJ,20011901,83,56085622,,relacionamento@caringsaude.com.br,KARLA KALYANNE DE QUEIROZ TEIXEIRA,ADMINISTRADOR,5,6/16/2020
327328,5.45543E+12,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.,CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA .,Medicina de Grupo,R MANOEL INACIO BEZERRA,89,,CENTRO,Brejo Santo,CE,63260000,88,35310460,35310997,csnsf1@gmail.com,EDMILSON COSTA  MEDEIRO,DIRETOR ADMINISTRATIVO,6,1/4/1999
417165,9.11471E+12,CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA,CASE SAÚDE,Administradora de Benefícios,AVENIDA RIO BRANCO,81,16º ANDAR,CENTRO,Rio de Janeiro,RJ,20040004,21,32169292,32169292,barbara.badaro@dasa.com.br,RAFAEL SAMPAIO DA MOTTA,REPRESENTANTE,5,2/12/2010
424269,5.70615E+13,CASTELLANO ODONTO PLANOS DE SAUDE LTDA,ODONTO CARE,Odontologia de Grupo,AVENIDA GETULIO VARGAS,2561,,AGUA VERDE,Curitiba,PR,80240040,41,30140104,,marcelo@castellano.com.br,MARCELO CASTELLANO,SÓCIO ADMINISTRADOR,,11/27/2024
423637,4.98848E+13,CASUFES SAÚDE ADMINISTRADORA DE BENEFÍCIOS,CASUFES SAÚDE,Administradora de Benefícios,Avenida Fernando Ferrari,1080,Sala 402 Setor Torre Norte ,Mata da Praia,Vitória,ES,29066380,27,33150017,,casufes@casufes.org.br,VALCERLI GERMANO GAICK,Presidente Conselho Diret,,8/21/2023
423220,4.54003E+13,CATEDRAL ADMINISTRADORA DE BENEFÍCIOS LTDA,,Administradora de Benefícios,R GOIANINHA,15,,NOVA PARNAMIRIM,Parnamirim,RN,59150480,84,99104808,,contato@catedraladministradora.com.br,DOUGLAS DE SOUZA PIMENTA,SÓCIO ADMINISTRADOR,,5/5/2022
415952,6.41705E+13,CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP,CDA ASSISTENCIA ODONTOLOGICA LTDA-EPP,Odontologia de Grupo,RUA BARÃO DE JAGUARA,655,"SALA 1006, 1007, 1008 E 1010",CENTRO,Campinas,SP,13015001,19,32346437,32311588,cdacampinas@odontocda.com.br,ANTONIO MARCIO RODRIGUES,DIRETOR,5,3/8/2007
311472,1.89871E+13,CEAM BRASIL - PLANOS DE SAÚDE LTDA,CEAM BRASIL,Medicina de Grupo,PRAÇA DR. CARLOS VICTOR,01,"3º ANDAR, SALA 1",VARGINHA,Itajubá,MG,37500000,35,36298109,36298040,contabilidade@ceambrasil.com.br,KAREN RUBIA BATISTA DE TOLEDO,DIRETORA ADMINISTRATIVA,6,12/18/1998
418749,6.81435E+12,CEDPLAN SAÚDE LTDA EPP,,Medicina de Grupo,RUA QUINZE DE NOVEMBRO,126,LOJA 16,CENTRO,Barbacena,MG,36200074,32,33396250,,regulacao@cedplan.com.br,DAVID ALDRIN LOPES CARNEIRO,SÓCIO-ADMINISTRADOR ,6,1/11/2013
339270,4.22788E+13,CELULOSE NIPO-BRASILEIRA S/A - CENIBRA,CENIBRA,Autogestão,RODOVIA BR 381 - KM,172,CAIXA POSTAL 100 - AGÊNCIA CENIBRA,PERPETUO SOCORRO,Belo Oriente,MG,35196972,31,38295026,38295218,comunicacaosocial@cenibra.com.br,FERNANDO SÉRGIO DA MATA BOREL,GERENTE DEPARTAMENTO RECURSOS ,3,1/12/1999
417505,1.20558E+13,CEMIG SAÚDE,CEMIG SAÚDE,Autogestão,AVENIDA BARBACENA,472,5º AO 8º E 12º ANDARES,BARRO PRETO,Belo Horizonte,MG,30190130,31,32534923,32534949,orgaoregulador@cemigsaude.org.br,ANDERSON FERREIRA,REPRESENTANTE,1,8/13/2010
422436,4.94019E+12,CENIBRA LOGÍSTICA LTDA,CENIBRA LOG,Autogestão,RODOVIA BR 381 KM 172,S/N,CAIXA POSTAL  101,PERPÉTUO SOCORRO,Belo Oriente,MG,35162972,31,38295415,,beneficioscnblog@cenibra.com.br,WELINGTON JUNIOR DE OLIVEIRA,Gerente Financeiro e Admi,,10/22/2020
417092,1.054E+13,CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA,,Medicina de Grupo,AV. CARNEIRO DA CUNHA,55,ANDAR 1º,TORRE,João Pessoa,PB,58040240,83,30482500,30482750,contato@opsnortenordeste.com.br,EVALDO ALVES TORQUATO,DIRETOR PRESIDENTE,4,9/9/2009
386596,3.66982E+11,CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,UNIMED CERRADO,Cooperativa Médica,RUA 8 A,111,QD 13-A LOTE 9/18,SETOR AEROPORTO,Goiânia,GO,74075240,62,92883684,,danilo.firmino@unimedcerrado.coop.br,SHIRLEY GONÇALVES DE PÁDUA MIGUEL,DIRETORA PRESIDENTE,5,12/24/1998
392804,7.73639E+11,CENTRO CLÍNICO GAÚCHO LTDA,CENTRO CLÍNICO GAÚCHO,Medicina de Grupo,RUA DONA MARGARIDA,537,,NAVEGANTES,Porto Alegre,RS,90240611,14,32879212,32879231,ans@hapvida.com.br,LUIZ CELSO DIAS LOPES,REPRESENTANTE LEGAL DA OPERADORA,4,12/29/1998
415910,2.56947E+12,CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA,IDEAL VIDA E SAUDE,Medicina de Grupo,RUA AUGUSTO DA SILVA PALHARES,105,,JARDIM SAO BENTO,Jundiaí,SP,13202510,11,46072323,48163740,idealvidaesaude@terra.com.br,RONALDO MOISES,SOCIO ADMINISTRADOR,6,1/31/2007
350699,9.50062E+11,CENTRO HOSPITALAR ATIBAIA LTDA.,CLIMED SAÚDE,Medicina de Grupo,RUA BAHIA,299,,RECREIO ESTORIL,Atibaia,SP,12944060,11,44121232,,juridico@sabinatibaia.com.br,FRANCISCO ESPINHA NETO,DIRETOR PRESIDENTE,5,12/24/1998
408883,2.75331E+13,CENTRO MÉDICO FÁTIMA LTDA,,Medicina de Grupo,RUA DEZENOVE DE FEVEREIRO,126,PARTE,BOTAFOGO,Rio de Janeiro,RJ,22280030,21,21368686,22861250,atendimento@memorialsaudebotafogo.com.br,NEMER CHIDID FILHO,SOCIO ADMINISTRADOR,4,10/13/1999
314757,3.7161E+13,CENTRO ODONTOLOGICO INTEGRADO LTDA,INTERDENTAL,Odontologia de Grupo,"SRTVS, QUADRA 701-CONJ. E ",BLOCOS 2/4,SALAS 207/208 E 209,ASA SUL,Brasília,DF,70340902,61,33212221,613212221,adm@interdentaldf.com.br,ANGELA THAISE FREIRE FERREIRA,SÓCIO-ADMINISTRADORA,4,12/29/1998
303623,6.26384E+13,CENTRO TRASMONTANO DE SAO PAULO,CENTRO TRASMONTANO DE SAO PAULO,Medicina de Grupo,RUA TABATINGUERA,294,,CENTRO,São Paulo,SP,1020903,11,31181519,31151515,ans@trasmontano.com.br,FERNANDO JOSÉ MOREDO,PRESIDENTE,4,12/22/1998
401871,6.49286E+13,CEORP - CENTRO ODONTOLOGICO LTDA,CEORP,Odontologia de Grupo,RUA DUQUE DE CAXIAS,1453,,CENTRO,Ribeirão Preto,SP,14015020,16,36105362,36105362,ceorp@terra.com.br,NATHALIA BIAGINI SÁ MOSNA MACHADO,ADMINISTRADOR,6,3/11/1999
324892,4.37765E+13,CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,CETESB,Autogestão,AV. PROFESSOR FREDERICO HERMANN JUNIOR,345,,ALTO DOS PINHEIROS,São Paulo,SP,5459900,11,31333451,,ar_cetesb@sp.gov.br,THALES ANDRES CARRA,GERENTE DO DEPTO. DE GESTÃO RH,2,12/29/1998
310247,8.86454E+13,CIRCULO OPERARIO CAXIENSE,CIRCULO OPERARIO CAXIENSE,Medicina de Grupo,RUA VISCONDE DE PELOTAS,809,,CENTRO,Caxias do Sul,RS,95020181,54,21010000,542233491,regulacaoprodutos@circulosaude.com.br,ALESSANDRO DANIEL CAVAGNOLLI,DIRETOR GERAL,5,12/24/1998
423963,4.04325E+13,CLARO S.A,CLARO,Autogestão,R HENRI DUNANT,780,TORRE A E TORRE B,SANTO AMARO,São Paulo,SP,4709110,,,,planoamap@planoamap.com.br,ALBERT CARVALHO JUNQUEIRA,Representante da Empresa ,,4/9/2024
419435,2.00884E+13,CLASSE ADMINISTRADORA DE BENEFÍCIOS LTDA - ME,CLASSE ADMINISTRADORA,Administradora de Benefícios,SBS - QD 02 - BLOCO A,01,SL 205 -  ED. CASA DE SÃO PAULO,ASA SUL,Brasília,DF,70070120,61,38791163,38791164,CANALANS@CLASSEADMINISTRADORA.COM.BR,FRANCISCO NOGUEIRA DA SILVA,REPRESENTANTE,4,8/4/2014
423327,4.33834E+13,CLICSAUDE ADMINISTRADORA DE BENEFICIOS LTDA,CLICSAUDE ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,RUA GUSTAVO AMBRUST,36,CONJ 02,NOVA CAMPINAS,Campinas,SP,13092106,19,971051974,,luciano@clicsaude.adm.br,LUCIANO ANTONIO BUZO,Diretor,,7/14/2022
410071,3.44795E+12,CLINICA ODONTOLOGICA ODONTOPLAN LTDA,ODONTOPLAN,Odontologia de Grupo,RUA BENTO GONÇALVES,1731,SALA 112,BOA VISTA,Novo Hamburgo,RS,93410395,,,30366610,ana@clinicaodontoplan.com.br,ANA GICIELI FRACALOSSI,SÓCIA ADMINISTRADORA,6,12/7/1999
340782,7.68826E+13,CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA,GNDI SUL,Medicina de Grupo,RUA XV DE NOVEMBRO,575,4º E 5º ANDARES ,CENTRO,Curitiba,PR,80020310,41,30213000,30213060,ans@hapvida.com.br,LUIZ CELSO DIAS LOPES,DIRETOR EXECUTIVO,4,12/22/1998
417891,9.58527E+12,"CLUBE DE BENEFICIOS PARA COOP., ASS., CONS., SIND. E SEGUROS - CBCACSS",,Administradora de Benefícios,RUA DA ASSEMBLEIA,10,SALA 3811 - A,CENTRO,Rio de Janeiro,RJ,20011000,21,84282619,,CBCACSS@CBCACSS.COM.BR,ANTONIO CARLOS ANTUNES BASTOS,DIRETOR PRESIDENTE,3,2/22/2011
422461,3.80463E+13,CLUBE SILVER ADMINISTRADORA DE PLANOS DE SAUDE LTDA,AMESAÚDE,Administradora de Benefícios,RUA QUINZE DE NOVEMBRO,228,AP 304,CENTRO,Niterói,RJ,24020125,21,35531692,,carlaoliveira1986@gmail.com,CARLA NAZARÉ OLIVEIRA DOS SANTOS,REPRESENTANTE LEGAL,,2/9/2021
415944,5.12623E+13,CLÍNICA SÃO GABRIEL S/S LTDA,,Medicina de Grupo,PRAÇA DA INDEPENDENCIA,17,,CENTRO,Ferraz de Vasconcelos,SP,8500901,11,46755166,46765514,info@saogabrielsaude.com.br,JOSE CARLOS ABISSAMRA,SOCIO-GERENTE,6,3/8/2007
419796,1.43721E+13,COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA,CODEBA,Autogestão,AV. DA FRANçA,1551,ESTAçãO MARITIMA VISC. DE CAIRU,COMERCIO,Salvador,BA,40010000,71,33201294,33201302,JAILTON@CODEBA.COM.BR,NEWTON FERREIRA DIAS,DIRETOR ADMINISTRATIVO/ FINANC,,6/26/2015
330051,4.79026E+13,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,,Autogestão,RUA BARÃO DE ITAPETININGA,18,,CENTRO,São Paulo,SP,5425904,11,30302378,30302066,dcp@cetsp.com.br,RICARDO RIBEIRO,REPRESENTANTE,,12/28/1998
416509,2.73165E+13,COMPANHIA DOCAS DO ESPIRITO SANTO - CODESA,CODESA,Autogestão,AVENIDA GETULIO VARGAS,556,,CENTRO,Vitória,ES,29010945,27,31327300,,autogestao@vports.com.br,SAMUEL GONCALVES DE AGUIAR RIBEIRO,Supervisor de Am de Pessoal,5,1/22/2008
392405,2.81514E+13,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,CESAN,Autogestão,AV. GOVERNADOR BLEY,186,3º PAV,CENTRO,Vitória,ES,29010150,27,21275000,21275353,amscesan@cesan.com.br,LEANDRO REZENDE DE ABREU,GERENTE DE RECURSOS HUMANOS,1,12/28/1998
334189,2.64617E+13,COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,COMPANHIA NACIONAL DE ABASTECIMENTO - C0NAB,Autogestão,"SGAS QUADRA 901, CONJUNTO ""A"", EDIFÍCIO ",69,ASA SUL,PLANO PILOTO,Brasília,DF,70390010,61,33126072,,conab.gesas@conab.gov.br,NILDA MARIA DOMINGOS MENDES,SUPERINT DE DESENV. DE PESSOAS,4,1/5/1999
420247,2.39207E+13,COMPAR ADMINISTRADORA DE BENEFICIOS LTDA - ME,COMPAR ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,RUA XV DE NOVEMBRO,1234,"CONJ 1203, ANDAR 12, COND EUGENIA CAMPOS",CENTRO,Curitiba,PR,80060000,41,31140469,,COMPAR@COMPARADM.COM.BR,ALMIR RODRIGUES,REPRESENTANTE LEGAL,6,10/25/2016
390259,7.00946E+13,COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA,COMSEDER,Autogestão,AV. MAXIMIANO DE FIGUEIREDO,311,CASA,CENTRO,João Pessoa,PB,58013470,83,32162904,32417196,comseder@comseder.com.br,FRANCISCO FERNANDES LISBOA,DIRETOR PRESIDENTE,5,12/29/1998
321931,2.96406E+13,CONFERÊNCIA SÃO JOSÉ DO AVAÍ,HOSPITAL SÃO JOSÉ DO AVAÍ,Filantropia,RUA CORONEL LUIZ FERRAZ,397,,CENTRO,Itaperuna,RJ,28300000,,,,saudeavai@saudeavai.com.br,AUGUSTO CLAUDIO DE ALMEIDA TINOCO,REPRESENTANTE JUNTO A ANS,5,12/16/1998
410624,3.61386E+12,CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA,CONFIANÇA SAÚDE,Medicina de Grupo,RUA LORENA,767,,PADRE EUSTÁQUIO,Belo Horizonte,MG,30730170,31,34112025,34112025,gerencia@confiancasaude.com.br,ROBERTO D'ASSUMPCAO GUIMARAES,ADMINISTRADOR ,4,2/21/2000
405931,6.05375E+13,CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA,CONSTRUDENTE,Odontologia de Grupo,RUA VOLUNTÁRIOS DA PATRIA,2505,CS 19,SANTANA,São Paulo,SP,2401000,11,30786904,30786904,lia@construdente.com.br,LIA ROSSI GILOS,SÓCIA ADMINISTRADORA,4,6/30/1999
418323,1.32863E+13,CONTEM ADMINISTRADORA DE PLANOS DE SAÚDE LTDA.,CONTEM ADMINISTRADORA DE BENEFICIOS,Administradora de Benefícios,RUA DO CARMO,08,10º ANDAR,CENTRO,Rio de Janeiro,RJ,20011020,21,35274747,,juridico@grupocontem.com.br,ANDREA DOS SANTOS MOURA,PRESIDENTE,4,12/21/2011
407241,2.29825E+12,COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO,ODONTOCLASSIC,Cooperativa odontológica,RUA RIO DE JANEIRO,821,,CENTRO,Avaré,SP,18700130,14,9292,37332022,diretoria@odontoclassic.com.br,JOSE ROBERTO SOUTO SILVA,DIRETOR OPERACIONAL,5,8/16/1999
367087,8.71585E+13,COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,UNIMED RIO GRANDE DO SUL,Cooperativa Médica,RUA SANTA TEREZINHA,340,,FARROUPILHA,Porto Alegre,RS,90040180,5,132011370,133303085,unimedrs@unimedrs.com.br,PAULO ROBERTO DE OLIVEIRA WEBSTER,REPRESENTANTE JUNTO A ANS,3,12/18/1998
353477,1.04172E+12,COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL,DENTSUL,Cooperativa odontológica,RUA CAPITAO PORFIRIO,1551,,CENTRO,Montenegro,RS,95780000,51,36322297,516322297,gerencia@dentsul.com.br,DENISE GIRON,PRESIDENTE,5,12/22/1998
418242,1.75009E+12,COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA,UNIODONTO DE RORAIMA,Cooperativa odontológica,AVENIDA CAPITÃO JULIO BEZERRA,952,,SÃO FRANCISCO,Boa Vista,RR,69305025,95,36234900,36234900,diretoria@uniodontorr.com.br,GILENIO PINHEIRO DA SILVA,PRESIDENTE,6,9/27/2011
313084,2.50641E+13,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,UNIMED DE ARAGUAINA,Cooperativa Médica,AVENIDA TOCANTINS,1232,LT- 17 QD RT-1,CENTRO,Araguaína,TO,77803120,,,,gerente@unimedaraguaina.com.br,RENATO BORGES AZEVEDO,PRESIDENTE,5,12/24/1998
318213,8.52469E+13,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,UNIMED LAGES,Cooperativa Médica,RUA FREI GABRIEL,115,,CENTRO,Lages,SC,88502030,49,32216600,,adriana.zampirolo@unimedlages.coop.br,ALCEU FERNANDES FILHO,PRESIDENTE,5,12/17/1998
337188,2.14906E+13,COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,UNIMED SUL MINEIRA,Cooperativa Médica,AV. MARECHAL CASTELO BRANCO,75,,CEL EVARISTO AZEVEDO JUNQUEIRA,Pouso Alegre,MG,37550275,35,34491800,,unimed@unimedsulmineira.com.br,MARCELO COUTO LUNA DE ALMEIDA,DIRETOR PRESIDENTE,5,12/18/1998
317012,8.51772E+13,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,UNIMED PLANALTO NORTE,Cooperativa Médica,AVENIDA DOM PEDRO II,373,-,CENTRO,São Bento do Sul,SC,89280136,47,36314183,36314183,alisson.schneider@upn.unimedsc.com.br,ERI GARCIA BUEMO,PRESIDENTE,5,12/17/1998
419028,2.59067E+13,COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ,,Cooperativa odontológica,RUA ALCIDES FARIA,240,,VARGINHA,Itajubá,MG,37501058,35,36220258,36220258,uniodonto@uniodontoitajuba.com.br,ALEXANDRE JULIO DIELLE,DIRETOR PRESIDENTE,5,9/11/2013
359459,2.72504E+12,COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE,COOPERDONTO,Cooperativa odontológica,AVENIDA BARÃO DE MARUIM,993,,CENTRO,Aracaju,SE,49015040,79,32146343,32145556,contato@cooperdonto-se.com.br,JOÃO TELES DE MELO FILHO,PRESIDENTE,3,12/30/1998
404241,7.23504E+13,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,COOPERSINOS LTDA,Autogestão,AV. UNISINOS,950,CENTRO COMUNITÁ,CRISTO REI,São Leopoldo,RS,93022000,51,35908509,35908590,clovisk@unisinos.br,CLÓVIS ANTÔNIO KRONBAUER,PRESIDENTE,6,5/19/1999
406805,3.26862E+12,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.,COOPUSAÚDE,Medicina de Grupo,PEDRO ALVARES CABRAL,900,,CENTRO,Erechim,RS,99700252,54,35202900,35226869,administracao@coopusaude.coop.br,DILVA MARIA GALINA LOCH,VICE-PRESIDENTE,5,8/2/1999
400572,2.94718E+12,COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU,EVIDENTE,Cooperativa odontológica,RUA DR CARDOSO DE ALMEIDA,579,,CENTRO,Botucatu,SP,18600005,14,38824142,38824142,evidente@evidente.com.br,JOÃO ANTONIO GODOY,PRESIDENTE,5,2/18/1999
342335,1.5016E+12,COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.,UNIODONTO GARANHUNS,Cooperativa odontológica,R DR JOSE MARIANO,193,,SAO JOSE,Garanhuns,PE,55293335,87,37621760,37621760,uniodonto@uniodontogaranhuns.coop.br,DANIEL VALENCA ARRUDA VIEIRA,PRESIDENTE,5,12/18/1998
365785,2.25485E+12,COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ,UNIODONTO AMAPÁ,Cooperativa odontológica,RUA MARCELO CÂNDIA,925,,SANTA RITA,Macapá,AP,68901341,96,91515691,,uniodontoap@uniodontoap.com.br,CLAUDIO VALENTE CALANDRINI DE AZEVEDO,DIRETOR PRESIDENTE,6,1/4/1999
409791,3.49403E+12,COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS,UNIODONTO POÇOS DE CALDAS,Cooperativa odontológica,RUA PARAIBA ,212,,CENTRO ,Poços de Caldas,MG,37701726,35,37167222,37167222,ouvidoria@uniodontopocos.com.br,FERNANDO DE PAIVA POSSO,PRESIDENTE,5,11/11/1999
402010,4.91998E+11,COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO,UNIODONTO ITABUNA,Cooperativa odontológica,RUA MARIÁ FERREIRA,245,1º ANDAR,CENTRO,Itabuna,BA,45600120,7,336134760,36134760,uniodontoitb@gmail.com,MARIO AUGUSTO DIAS BRUM,PRESIDENTE,5,3/12/1999
353892,1.90527E+13,COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.,COOPERCISO,Odontologia de Grupo,RUA JAIME MARTINS RIÊRA,31,,BOA VISTA,Itajubá,MG,37505042,35,36234600,36234600,cooperciso@cooperciso.com.br,LUCAS PEREIRA GONÇALVES,DIRETOR ADMINISTRATIVO,5,1/25/1999
418757,7.35055E+13,CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ,CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA ,Administradora de Benefícios,RUA VITÓRIA,2296,,NEVA,Cascavel,PR,85802229,45,32240204,,corplife@corplife.com.br,ARISTIDES ALVES DOS REIS,ADMINISTRADOR,6,1/11/2013
418960,1.76709E+13,CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA,,Administradora de Benefícios,ALAMEDA RIO NEGRO,500,9º ANDAR / SALA 901 A 916 / TORRE 2,ALPHAVILLE CENTRO INDUSTRIAL E,Barueri,SP,6454000,11,43494200,,valquiria.brovini@corpesaude.com.br,DIRCEU CANAL,SóCIO ADMINISTRADOR,4,8/1/2013
368181,1.90096E+13,CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA,CROE-CENTRO DE REABILITAÇAO ORAL ESPECIALIZADO LTDA,Odontologia de Grupo,OSCAR VIDAL ,252,Sala 201,CENTRO,Juiz de Fora,MG,36016290,32,33116699,,ceaccroe@croe.com.br,CLAUDIA CABRINI PINTO DE LUCCA,SOCIO QUOTISTA,6,1/5/1999
397245,6.90993E+13,CROWN ODONTOLOGIA DE GRUPO LTDA,CROWN ODONTOLOGIA DE GRUPO LTDA,Odontologia de Grupo,RUA PEQUETITA,145,CONJ. 101,JARDIM PROF BENOÁ,São Paulo,SP,4552060,11,28132000,28132001,crown@crownodonto.com.br,WALTER CARMO CORIOLANO JUNIOR,SOCIO ADMINISTRADOR,4,12/24/1998
421952,3.38031E+13,CRZ PLANO ODONTOLÓGICO LTDA,CRUZ DENTAL,Odontologia de Grupo,AVENIDA RODOVALHO,722,SALA 13,VILA MOEMA,Tubarão,SC,88705091,48,31910205,,crzdental@gmail.com,DANIELE NIEHUES CRUZ,SÓCIA-ADMINISTRADORA,5,12/3/2019
422045,3.48244E+13,CTESK ADMINISTRADORA DE BENEFIÍCIOS LTDA,CTESK ADMINISTRADORA DE BENEFIÍCIOS ,Administradora de Benefícios,"Q SCN QUADRA 02, BLOCO D, ENTRADA B",SN,SALAS 201 E 203,ASA NORTE,Brasília,DF,70712904,61,32573926,,siloe@ctesk.com.br,SILOÉ JOÃO DE ALMEIDA JUNIOR,Administrador,,12/18/2019
419737,1.19733E+13,D1 ADMINISTRADORA DE BENEFÍCIOS PRIVADOS DE ASSISTÊNCIA A SAÚDE  COLETIVOS LTDA,,Administradora de Benefícios,RUA DOS CEDROS,501,SALA 03,JARDIM SãO PAULO,Americana,SP,13468020,19,34622553,,celso@solucaodinamica.com.br,CELSO RONALDO SOARES,SóCIO,6,4/6/2015
416118,2.53137E+11,DANA INDUSTRIAS LTDA.,,Autogestão,AVENIDA FERNANDO STECCA,780,PRÉDIO 26 - ADMINISTRAÇÃO,IPORANGA,Sorocaba,SP,18087149,,,,juliana.miranda@dana.com,JULIANA DOS REIS MIRANDA,COORDENADORA DE RH,,6/14/2007
421081,2.78321E+13,DELFHI PLANOS ODONTOLÓGICOS LTDA,DELFHI ODONTO,Odontologia de Grupo,AV. PRUDENTE DE MORAIS,624,,TIROL,Natal,RN,59020510,84,999862109,,delfino@delfhicorretora.com.br,FRANCISCO DELFINO DA SILVA,SÓCIO ADMINISTRADOR,5,10/2/2017
420239,2.46199E+13,DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA,DENTAL CARE,Odontologia de Grupo,RUA DO IMPERADOR,359,,CENTRO,Maceió,AL,57020670,82,30220163,30220163,financeiro@planodentalcare.com.br,LEONINO VIEIRA DA SILVA FILHO,SóCIO ADMINISTRADOR,5,10/25/2016
386219,6.64935E+13,DENTAL CARE CLINICA ODONTOLOGICA LTDA,ODONTOLOGICA,Odontologia de Grupo,RUA MATO GROSSO,1001,,CENTRO,Avaré,SP,18700150,14,37322286,37322286,odontologica_avare@terra.com.br,HILTON SERGIO ISMAEL LUTTI,SOCIO,5,1/20/1999
